scenario,hero_count,blocked_stages,gold_blocked_stages,progression_blocked_stages,total_summons,pity_triggers,maximum_summon_pity,total_ascensions,total_upgrades,total_seconds,final_team_power,final_gold,worst_normal_stage,worst_normal_ttk_seconds,worst_boss_stage,worst_boss_ttk_seconds
baseline-three-summons,4,0,0,0,400,0,67,231,11745,428001.370588147525613225,1.14415070479182596754698e+793,1.48348829860020829005799e+795,1219,65.635801573471046827056,1215,54.9965417952523634474525
unlucky-common-start,4,0,0,0,400,0,67,231,11745,428278.612887557762562054,1.14415070479182596754698e+793,1.48348829860020829005799e+795,1004,67.453958058538536545118,1215,54.9965417952523634474525
adversarial-rng-pity,2,0,0,0,400,5,79,96,4849,426585.848982252743451278,1.28716954289080421349046e+793,1.38051473516894395297905e+795,1004,65.0888979506705787537777,3430,54.9911745119519411944503
solo-common,1,6655,0,6655,400,0,67,85,4299,2.1869802109091337879016e+47,5.19149792432878033643366e+757,1.89538255232526563837374e+795,9899,2.40293901765203595014735e+46,9900,4.97454529791651766736202e+46
